	Individual ID	Mutation Type	Total	Shared Count	Shared	FFPE Only Count	FFPE Only
54	H203542	SNVs	231111	10308	0.04460194452016564	220803	0.9553980554798344
55	H203544	SNVs	130826	9305	0.0711250057328054	121521	0.9288749942671946
0	H134753	Indels	27737	691	0.024912571655189817	27046	0.9750874283448102
1	H135022	Indels	163295	765	0.0046847729569184605	162530	0.9953152270430815
2	H135387	Indels	206529	525	0.0025420158912307714	206004	0.9974579841087692
3	H156407	Indels	202729	1273	0.0062793186963877885	201456	0.9937206813036122
4	H158273	Indels	133214	627	0.004706712507694387	132587	0.9952932874923056
5	H158878	Indels	38346	1018	0.026547749439315704	37328	0.9734522505606843
6	H158880	Indels	187268	2557	0.013654228164982806	184711	0.9863457718350171
7	H158918	Indels	248283	106	0.0004269321701445528	248177	0.9995730678298554
8	H159369	Indels	209246	639	0.0030538218173824113	208607	0.9969461781826175
9	H135462	Indels	210532	12018	0.057083958733114205	198514	0.9429160412668858
10	H201536	Indels	38721	1409	0.03638852302368224	37312	0.9636114769763178
11	H201537	Indels	42788	1349	0.03152753108348135	41439	0.9684724689165186
12	H201538	Indels	31529	477	0.015128928922579212	31052	0.9848710710774208
13	H201539	Indels	45713	1240	0.0271257629120819	44473	0.9728742370879181
14	H201540	Indels	59701	1405	0.023533944155039278	58296	0.9764660558449607
15	H201542	Indels	24548	1363	0.0555238715985009	23185	0.9444761284014991
16	H203495	Indels	62485	1027	0.01643594462671041	61458	0.9835640553732896
17	H203498	Indels	48404	476	0.009833898024956616	47928	0.9901661019750434
18	H203499	Indels	83992	4065	0.04839746642537385	79927	0.9516025335746262
19	H203500	Indels	67243	2015	0.029965944410570617	65228	0.9700340555894293
20	H203501	Indels	51874	1645	0.031711454678644405	50229	0.9682885453213556
21	H203502	Indels	82389	1954	0.023716758305113547	80435	0.9762832416948865
22	H203503	Indels	58725	3969	0.06758620689655172	54756	0.9324137931034483
23	H203504	Indels	85280	2764	0.0324108818011257	82516	0.9675891181988743
24	H203505	Indels	64782	307	0.0047389707017381376	64475	0.9952610292982619
25	H203506	Indels	71553	728	0.010174276410492922	70825	0.989825723589507
26	H203507	Indels	69600	2810	0.04037356321839081	66790	0.9596264367816092
27	H203508	Indels	385361	257864	0.6691491873853348	127497	0.3308508126146652
28	H203511	Indels	74885	2414	0.0322360953461975	72471	0.9677639046538025
29	H203512	Indels	47522	788	0.016581793695551534	46734	0.9834182063044484
30	H203513	Indels	67346	4252	0.06313663766222195	63094	0.936863362337778
31	H203514	Indels	80388	1148	0.014280738418669453	79240	0.9857192615813305
32	H203515	Indels	74344	1806	0.024292478209404927	72538	0.9757075217905951
33	H203516	Indels	76760	11742	0.15297029702970297	65018	0.847029702970297
34	H203517	Indels	68443	4402	0.06431629238928743	64041	0.9356837076107125
35	H203518	Indels	53168	676	0.012714414685525128	52492	0.9872855853144749
36	H203519	Indels	50728	1333	0.02627740104084529	49395	0.9737225989591547
37	H203520	Indels	65765	3716	0.05650421956967992	62049	0.9434957804303201
38	H203522	Indels	70985	2896	0.04079735155314503	68089	0.959202648446855
39	H203523	Indels	62990	1296	0.02057469439593586	61694	0.9794253056040642
40	H203524	Indels	49779	1011	0.020309769179774603	48768	0.9796902308202254
41	H203525	Indels	62427	1433	0.022954811219504382	60994	0.9770451887804956
42	H203526	Indels	201978	122341	0.6057144837556565	79637	0.39428551624434344
43	H203527	Indels	67759	1614	0.02381971398633392	66145	0.9761802860136661
44	H203530	Indels	74561	886	0.011882887836804764	73675	0.9881171121631952
