	Individual ID	Mutation Type	Total	Shared Count	Shared	FFPE Only Count	FFPE Only
40	H203524	SVs	681	436	0.6402349486049926	245	0.35976505139500736
41	H203525	SVs	173	160	0.9248554913294798	13	0.07514450867052024
42	H203526	SVs	5	5	1.0	0	0.0
43	H203527	SVs	28	28	1.0	0	0.0
44	H203530	SVs	22	13	0.5909090909090909	9	0.4090909090909091
45	H203531	SVs	89	63	0.7078651685393258	26	0.29213483146067415
46	H203532	SVs	3	3	1.0	0	0.0
47	H203533	SVs	12	12	1.0	0	0.0
48	H203534	SVs	0	0	1.0	0	0.0
49	H203535	SVs	10	6	0.6	4	0.4
50	H203537	SVs	57	49	0.8596491228070176	8	0.14035087719298245
51	H203539	SVs	19	17	0.8947368421052632	2	0.10526315789473684
52	H203540	SVs	3	3	1.0	0	0.0
53	H203541	SVs	30	25	0.8333333333333334	5	0.16666666666666666
54	H203542	SVs	35	22	0.6285714285714286	13	0.37142857142857144
55	H203544	SVs	322	279	0.8664596273291926	43	0.13354037267080746
